date,index_in_test,used_in_analysis,used_as_event,used_as_control
2024-09-23,0,0,0,0
2024-09-24,1,0,0,0
2024-09-25,2,0,0,0
2024-09-26,3,0,0,0
2024-09-27,4,0,0,0
2024-09-30,5,0,0,0
2024-10-01,6,0,0,0
2024-10-02,7,0,0,0
2024-10-03,8,1,0,1
2024-10-04,9,0,0,0
2024-10-07,10,0,0,0
2024-10-08,11,0,0,0
2024-10-09,12,0,0,0
2024-10-10,13,0,0,0
2024-10-11,14,0,0,0
2024-10-14,15,0,0,0
2024-10-15,16,0,0,0
2024-10-16,17,0,0,0
2024-10-17,18,0,0,0
2024-10-18,19,0,0,0
2024-10-21,20,0,0,0
2024-10-22,21,0,0,0
2024-10-23,22,0,0,0
2024-10-24,23,0,0,0
2024-10-25,24,0,0,0
2024-10-28,25,0,0,0
2024-10-29,26,0,0,0
2024-10-30,27,0,0,0
2024-10-31,28,0,0,0
2024-11-01,29,0,0,0
2024-11-04,30,0,0,0
2024-11-05,31,0,0,0
2024-11-06,32,1,0,1
2024-11-07,33,0,0,0
2024-11-08,34,0,0,0
2024-11-11,35,0,0,0
2024-11-12,36,0,0,0
2024-11-13,37,0,0,0
2024-11-14,38,0,0,0
2024-11-15,39,0,0,0
2024-11-18,40,0,0,0
2024-11-19,41,0,0,0
2024-11-20,42,0,0,0
2024-11-21,43,0,0,0
2024-11-22,44,0,0,0
2024-11-25,45,0,0,0
2024-11-26,46,0,0,0
2024-11-27,47,0,0,0
2024-11-28,48,0,0,0
2024-11-29,49,0,0,0
2024-12-02,50,0,0,0
2024-12-03,51,0,0,0
2024-12-04,52,0,0,0
2024-12-05,53,0,0,0
2024-12-06,54,0,0,0
2024-12-09,55,0,0,0
2024-12-10,56,0,0,0
2024-12-11,57,1,1,0
2024-12-12,58,0,0,0
2024-12-13,59,0,0,0
2024-12-16,60,0,0,0
2024-12-17,61,0,0,0
2024-12-18,62,0,0,0
2024-12-19,63,0,0,0
2024-12-20,64,0,0,0
2024-12-23,65,1,0,1
2024-12-24,66,0,0,0
2024-12-25,67,0,0,0
2024-12-26,68,0,0,0
2024-12-27,69,0,0,0
2024-12-30,70,0,0,0
2024-12-31,71,0,0,0
2025-01-02,72,0,0,0
2025-01-03,73,0,0,0
2025-01-06,74,0,0,0
2025-01-07,75,0,0,0
2025-01-08,76,0,0,0
2025-01-09,77,0,0,0
2025-01-10,78,0,0,0
2025-01-13,79,0,0,0
2025-01-14,80,0,0,0
2025-01-15,81,0,0,0
2025-01-16,82,0,0,0
2025-01-17,83,0,0,0
2025-01-20,84,0,0,0
2025-01-21,85,1,0,1
2025-01-22,86,0,0,0
2025-01-23,87,0,0,0
2025-01-24,88,0,0,0
2025-01-27,89,0,0,0
