date,event_label,control_label,future_max_abs_change,horizon,q_event
2024-09-23,0,0,1.0699987411499023,5,0.95
2024-09-24,0,0,3.8699998855590856,5,0.95
2024-09-25,0,0,3.85000038146973,5,0.95
2024-09-26,0,0,5.119999885559082,5,0.95
2024-09-27,0,0,3.530000686645508,5,0.95
2024-09-30,0,0,5.909999847412113,5,0.95
2024-10-01,0,0,3.3799991607666016,5,0.95
2024-10-02,0,0,3.739999771118164,5,0.95
2024-10-03,0,1,2.149999618530277,5,0.95
2024-10-04,0,0,3.430000305175785,5,0.95
2024-10-07,0,1,2.939998626708988,5,0.95
2024-10-08,0,0,1.7199993133544922,5,0.95
2024-10-09,0,0,1.2800006866455078,5,0.95
2024-10-10,0,0,1.8199996948242223,5,0.95
2024-10-11,0,1,2.4299983978271484,5,0.95
2024-10-14,0,0,1.6700000762939453,5,0.95
2024-10-15,0,1,2.6099987030029332,5,0.95
2024-10-16,0,0,1.5499992370605433,5,0.95
2024-10-17,0,0,1.0799999237060511,5,0.95
2024-10-18,0,1,2.2999992370605433,5,0.95
2024-10-21,0,1,1.9599990844726527,5,0.95
2024-10-22,0,1,2.129999160766598,5,0.95
2024-10-23,0,0,1.1100006103515625,5,0.95
2024-10-24,0,0,4.079999923706058,5,0.95
2024-10-25,0,1,2.8299999237060582,5,0.95
2024-10-28,0,0,3.3600006103515625,5,0.95
2024-10-29,0,0,3.8199996948242188,5,0.95
2024-10-30,0,0,4.079999923706055,5,0.95
2024-10-31,0,0,7.960000038146973,5,0.95
2024-11-01,0,0,6.939999580383301,5,0.95
2024-11-04,0,0,7.039999961853027,5,0.95
2024-11-05,0,0,5.779999732971191,5,0.95
2024-11-06,0,1,2.25,5,0.95
2024-11-07,0,0,1.1799993515014648,5,0.95
2024-11-08,0,0,1.1999998092651367,5,0.95
2024-11-11,0,0,1.169999122619629,5,0.95
2024-11-12,0,0,1.640000343322754,5,0.95
2024-11-13,0,0,3.1399993896484375,5,0.95
2024-11-14,0,1,2.84999942779541,5,0.95
2024-11-15,0,0,1.0200004577636719,5,0.95
2024-11-18,0,0,1.579999923706053,5,0.95
2024-11-19,0,1,2.2499999999999982,5,0.95
2024-11-20,0,0,3.059999465942381,5,0.95
2024-11-21,0,1,2.77000045776367,5,0.95
2024-11-22,0,0,1.7299995422363281,5,0.95
2024-11-25,0,0,1.2600002288818377,5,0.95
2024-11-26,0,0,0.8000001907348651,5,0.95
2024-11-27,0,0,0.8000001907348651,5,0.95
2024-11-28,0,0,0.8000001907348651,5,0.95
2024-11-29,0,0,0.7399997711181641,5,0.95
2024-12-02,0,0,0.8499994277954102,5,0.95
2024-12-03,0,0,0.8899993896484375,5,0.95
2024-12-04,0,0,0.7399997711181641,5,0.95
2024-12-05,0,0,0.7699995040893555,5,0.95
2024-12-06,0,0,1.419999122619629,5,0.95
2024-12-09,0,0,0.6099996566772443,5,0.95
2024-12-10,0,0,1.6899995803833026,5,0.95
2024-12-11,1,0,14.040000915527342,5,0.95
2024-12-12,1,0,13.700000762939455,5,0.95
2024-12-13,1,0,13.8100004196167,5,0.95
2024-12-16,1,0,12.930001258850098,5,0.95
2024-12-17,1,0,11.750000953674316,5,0.95
2024-12-18,1,0,13.350000381469727,5,0.95
2024-12-19,1,0,9.819999694824219,5,0.95
2024-12-20,0,0,4.090000152587887,5,0.95
2024-12-23,0,1,2.510000228881836,5,0.95
2024-12-24,0,0,3.1299991607666016,5,0.95
2024-12-25,0,0,3.6599998474121094,5,0.95
2024-12-26,0,0,3.200000762939453,5,0.95
2024-12-27,0,1,1.9800004959106445,5,0.95
2024-12-30,0,0,1.3599987030029297,5,0.95
2024-12-31,0,0,1.3099994659423828,5,0.95
2025-01-02,0,1,1.8899993896484375,5,0.95
2025-01-03,0,0,3.410001754760742,5,0.95
2025-01-06,0,0,3.5,5,0.95
2025-01-07,0,0,1.720001220703125,5,0.95
2025-01-08,0,1,1.8400001525878906,5,0.95
2025-01-09,0,1,1.8400001525878906,5,0.95
2025-01-10,0,0,3.570000648498535,5,0.95
2025-01-13,0,0,3.2200002670288086,5,0.95
2025-01-14,0,0,3.649998664855957,5,0.95
2025-01-15,0,0,1.0600004196166992,5,0.95
2025-01-16,0,0,1.5799999237060547,5,0.95
2025-01-17,0,0,1.1199998855590803,5,0.95
2025-01-20,0,1,1.9299993515014648,5,0.95
2025-01-21,0,1,2.839999198913574,5,0.95
2025-01-22,0,1,2.799999237060545,5,0.95
2025-01-23,0,1,2.8799991607666016,5,0.95
2025-01-24,0,0,3.049999237060545,5,0.95
2025-01-27,0,1,2.059999465942383,5,0.95
2025-01-28,0,1,2.210000991821289,5,0.95
2025-01-29,0,1,2.0600013732910156,5,0.95
2025-01-30,0,1,2.780000686645508,5,0.95
2025-01-31,0,1,2.190000534057617,5,0.95
2025-02-03,0,0,3.1200008392333984,5,0.95
2025-02-04,0,0,1.7099990844726562,5,0.95
2025-02-05,0,0,0.7700004577636719,5,0.95
2025-02-06,0,0,1.0400009155273438,5,0.95
2025-02-07,0,0,1.7700004577636719,5,0.95
2025-02-10,0,0,1.0399999618530273,5,0.95
2025-02-11,0,0,1.25,5,0.95
2025-02-12,0,0,1.119999885559082,5,0.95
2025-02-13,0,0,0.559999465942381,5,0.95
2025-02-14,0,0,3.4399986267089844,5,0.95
2025-02-17,0,0,4.209999084472656,5,0.95
2025-02-18,0,0,4.079999923706053,5,0.95
2025-02-19,0,0,4.159999847412109,5,0.95
2025-02-20,0,0,5.469999313354492,5,0.95
2025-02-21,0,1,2.9200000762939453,5,0.95
2025-02-24,0,0,3.8000011444091797,5,0.95
2025-02-25,0,0,4.079999923706058,5,0.95
2025-02-26,0,0,4.409999847412113,5,0.95
2025-02-27,0,0,3.740001678466797,5,0.95
2025-02-28,0,0,5.240001678466797,5,0.95
2025-03-03,0,0,5.079999923706051,5,0.95
2025-03-04,0,0,4.3500003814697195,5,0.95
2025-03-05,0,0,5.930000305175778,5,0.95
2025-03-06,0,1,2.9899997711181605,5,0.95
2025-03-07,0,0,4.4899997711181605,5,0.95
2025-03-10,0,0,7.3500003814697195,5,0.95
2025-03-11,0,0,6.409999847412106,5,0.95
2025-03-12,0,0,4.329999923706051,5,0.95
2025-03-13,0,0,4.8600006103515625,5,0.95
2025-03-14,0,1,2.489999771118164,5,0.95
2025-03-17,0,0,3.0300006866455114,5,0.95
2025-03-18,0,0,4.55000114440918,5,0.95
2025-03-19,0,1,2.7500000000000036,5,0.95
2025-03-20,0,1,2.6499996185302734,5,0.95
2025-03-21,0,1,2.369998931884769,5,0.95
2025-03-24,0,0,4.80000114440918,5,0.95
2025-03-25,0,0,5.130001068115234,5,0.95
2025-03-26,0,0,3.9500007629394567,5,0.95
2025-03-27,1,0,11.329999923706055,5,0.95
2025-03-28,1,0,23.66000175476074,5,0.95
2025-03-31,1,0,24.69999885559082,5,0.95
2025-04-01,1,0,30.560001373291016,5,0.95
2025-04-02,1,0,30.820001602172848,5,0.95
2025-04-03,1,0,22.310001373291016,5,0.95
2025-04-04,1,0,11.69000244140625,5,0.95
2025-04-07,1,0,16.090000152587887,5,0.95
2025-04-08,1,0,22.21000099182129,5,0.95
2025-04-09,0,0,7.100002288818359,5,0.95
2025-04-10,1,0,11.070001602172848,5,0.95
2025-04-11,0,0,7.910001754760739,5,0.95
2025-04-14,0,1,2.9300003051757777,5,0.95
2025-04-15,0,0,3.6999988555908203,5,0.95
2025-04-16,0,0,4.189998626708984,5,0.95
2025-04-17,0,0,4.170000076293942,5,0.95
2025-04-18,0,0,4.809999465942386,5,0.95
2025-04-21,0,0,8.979999542236328,5,0.95
2025-04-22,0,0,6.399999618530273,5,0.95
2025-04-23,0,0,4.280000686645508,5,0.95
2025-04-24,0,1,2.2999992370605433,5,0.95
2025-04-25,0,1,2.1599998474121094,5,0.95
2025-04-28,0,1,2.4699993133544957,5,0.95
2025-04-29,0,0,1.489999771118164,5,0.95
2025-04-30,0,1,2.020000457763672,5,0.95
2025-05-01,0,1,2.1200008392333984,5,0.95
2025-05-02,0,1,2.0799999237060582,5,0.95
2025-05-05,0,0,5.25,5,0.95
2025-05-06,0,0,6.540000915527351,5,0.95
2025-05-07,0,0,5.329999923706058,5,0.95
2025-05-08,0,0,4.649999618530273,5,0.95
2025-05-09,0,0,4.659999847412113,5,0.95
2025-05-12,0,0,1.149999618530277,5,0.95
